region_id,state,district
0,Andaman And Nicobar Islands,Nicobars
1,Andaman And Nicobar Islands,North And Middle Andaman
2,Andaman And Nicobar Islands,South Andamans
3,Andhra Pradesh,Anantapur
4,Andhra Pradesh,East Godavari
5,Andhra Pradesh,Krishna
6,Andhra Pradesh,Vizianagaram
7,Andhra Pradesh,West Godavari
8,Andhra Pradesh,Adilabad
9,Andhra Pradesh,Chittoor
10,Andhra Pradesh,Guntur
11,Andhra Pradesh,Kadapa
12,Andhra Pradesh,Karimnagar
13,Andhra Pradesh,Khammam
14,Andhra Pradesh,Kurnool
15,Andhra Pradesh,Mahbubnagar
16,Andhra Pradesh,Medak
17,Andhra Pradesh,Nalgonda
18,Andhra Pradesh,Nizamabad
19,Andhra Pradesh,Prakasam
20,Andhra Pradesh,Rangareddi
21,Andhra Pradesh,Spsr Nellore
22,Andhra Pradesh,Srikakulam
23,Andhra Pradesh,Visakhapatanam
24,Andhra Pradesh,Warangal
25,Arunachal Pradesh,Changlang
26,Arunachal Pradesh,Dibang Valley
27,Arunachal Pradesh,East Kameng
28,Arunachal Pradesh,East Siang
29,Arunachal Pradesh,Kurung Kumey
30,Arunachal Pradesh,Lohit
31,Arunachal Pradesh,Lower Dibang Valley
32,Arunachal Pradesh,Lower Subansiri
33,Arunachal Pradesh,Papum Pare
34,Arunachal Pradesh,Tawang
35,Arunachal Pradesh,Tirap
36,Arunachal Pradesh,Upper Siang
37,Arunachal Pradesh,Upper Subansiri
38,Arunachal Pradesh,West Kameng
39,Arunachal Pradesh,West Siang
40,Assam,Barpeta
41,Assam,Bongaigaon
42,Assam,Cachar
43,Assam,Darrang
44,Assam,Dhemaji
45,Assam,Dhubri
46,Assam,Dibrugarh
47,Assam,Dima Hasao
48,Assam,Goalpara
49,Assam,Golaghat
50,Assam,Hailakandi
51,Assam,Jorhat
52,Assam,Kamrup
53,Assam,Karbi Anglong
54,Assam,Karimganj
55,Assam,Kokrajhar
56,Assam,Lakhimpur
57,Assam,Marigaon
58,Assam,Nagaon
59,Assam,Nalbari
60,Assam,Sivasagar
61,Assam,Sonitpur
62,Assam,Tinsukia
63,Bihar,Araria
64,Bihar,Arwal
65,Bihar,Aurangabad
66,Bihar,Banka
67,Bihar,Begusarai
68,Bihar,Bhagalpur
69,Bihar,Bhojpur
70,Bihar,Buxar
71,Bihar,Darbhanga
72,Bihar,Gaya
73,Bihar,Gopalganj
74,Bihar,Jamui
75,Bihar,Jehanabad
76,Bihar,Kaimur (Bhabua)
77,Bihar,Katihar
78,Bihar,Khagaria
79,Bihar,Kishanganj
80,Bihar,Lakhisarai
81,Bihar,Madhepura
82,Bihar,Madhubani
83,Bihar,Munger
84,Bihar,Muzaffarpur
85,Bihar,Nalanda
86,Bihar,Nawada
87,Bihar,Pashchim Champaran
88,Bihar,Patna
89,Bihar,Purbi Champaran
90,Bihar,Purnia
91,Bihar,Rohtas
92,Bihar,Saharsa
93,Bihar,Samastipur
94,Bihar,Saran
95,Bihar,Sheikhpura
96,Bihar,Sheohar
97,Bihar,Sitamarhi
98,Bihar,Siwan
99,Bihar,Supaul
100,Bihar,Vaishali
101,Chandigarh,Chandigarh
102,Chhattisgarh,Bastar
103,Chhattisgarh,Bilaspur
104,Chhattisgarh,Dantewada
105,Chhattisgarh,Dhamtari
106,Chhattisgarh,Durg
107,Chhattisgarh,Janjgir-Champa
108,Chhattisgarh,Jashpur
109,Chhattisgarh,Kabirdham
110,Chhattisgarh,Kanker
111,Chhattisgarh,Korba
112,Chhattisgarh,Korea
113,Chhattisgarh,Mahasamund
114,Chhattisgarh,Raigarh
115,Chhattisgarh,Raipur
116,Chhattisgarh,Rajnandgaon
117,Chhattisgarh,Surguja
118,Dadra And Nagar Haveli,Dadra And Nagar Haveli
119,Daman And Diu,Daman And Diu
120,Delhi,Delhi
121,Goa,Goa
122,Gujarat,Ahmadabad
123,Gujarat,Amreli
124,Gujarat,Anand
125,Gujarat,Banas Kantha
126,Gujarat,Bharuch
127,Gujarat,Bhavnagar
128,Gujarat,Dang
129,Gujarat,Dohad
130,Gujarat,Gandhinagar
131,Gujarat,Jamnagar
132,Gujarat,Junagadh
133,Gujarat,Kheda
134,Gujarat,Mahesana
135,Gujarat,Narmada
136,Gujarat,Navsari
137,Gujarat,Panch Mahals
138,Gujarat,Patan
139,Gujarat,Porbandar
140,Gujarat,Rajkot
141,Gujarat,Sabar Kantha
142,Gujarat,Surat
143,Gujarat,Surendranagar
144,Gujarat,Vadodara
145,Gujarat,Valsad
146,Gujarat,Kachchh
147,Haryana,Ambala
148,Haryana,Bhiwani
149,Haryana,Faridabad
150,Haryana,Fatehabad
151,Haryana,Gurgaon
152,Haryana,Hisar
153,Haryana,Jhajjar
154,Haryana,Jind
155,Haryana,Kaithal
156,Haryana,Karnal
157,Haryana,Kurukshetra
158,Haryana,Mahendragarh
159,Haryana,Panchkula
160,Haryana,Panipat
161,Haryana,Rewari
162,Haryana,Rohtak
163,Haryana,Sirsa
164,Haryana,Sonipat
165,Haryana,Yamunanagar
166,Himachal Pradesh,Bilaspur
167,Himachal Pradesh,Kangra
168,Himachal Pradesh,Kullu
169,Himachal Pradesh,Mandi
170,Himachal Pradesh,Shimla
171,Himachal Pradesh,Solan
172,Himachal Pradesh,Una
173,Himachal Pradesh,Chamba
174,Himachal Pradesh,Hamirpur
175,Himachal Pradesh,Sirmaur
176,Himachal Pradesh,Kinnaur
177,Himachal Pradesh,Lahul And Spiti
178,Jammu And Kashmir,Doda
179,Jammu And Kashmir,Jammu
180,Jammu And Kashmir,Kathua
181,Jammu And Kashmir,Rajauri
182,Jammu And Kashmir,Udhampur
183,Jammu And Kashmir,Kargil
184,Jammu And Kashmir,Leh Ladakh
185,Jammu And Kashmir,Srinagar
186,Jammu And Kashmir,Badgam
187,Jammu And Kashmir,Baramulla
188,Jammu And Kashmir,Poonch
189,Jammu And Kashmir,Pulwama
190,Jammu And Kashmir,Anantnag
191,Jammu And Kashmir,Kupwara
192,Jharkhand,Chatra
193,Jharkhand,Dumka
194,Jharkhand,Garhwa
195,Jharkhand,Godda
196,Jharkhand,Gumla
197,Jharkhand,Hazaribagh
198,Jharkhand,Koderma
199,Jharkhand,Latehar
200,Jharkhand,Lohardaga
201,Jharkhand,Pakur
202,Jharkhand,Palamu
203,Jharkhand,Ranchi
204,Jharkhand,Sahebganj
205,Jharkhand,Saraikela Kharsawan
206,Jharkhand,Simdega
207,Jharkhand,West Singhbhum
208,Jharkhand,Bokaro
209,Jharkhand,Deoghar
210,Jharkhand,Dhanbad
211,Jharkhand,East Singhbum
212,Jharkhand,Giridih
213,Jharkhand,Jamtara
214,Karnataka,Bagalkot
215,Karnataka,Bangalore Rural
216,Karnataka,Belgaum
217,Karnataka,Bellary
218,Karnataka,Bengaluru Urban
219,Karnataka,Chamarajanagar
220,Karnataka,Chikmagalur
221,Karnataka,Chitradurga
222,Karnataka,Dakshin Kannad
223,Karnataka,Davangere
224,Karnataka,Dharwad
225,Karnataka,Gadag
226,Karnataka,Hassan
227,Karnataka,Haveri
228,Karnataka,Kodagu
229,Karnataka,Kolar
230,Karnataka,Mandya
231,Karnataka,Mysore
232,Karnataka,Shimoga
233,Karnataka,Tumkur
234,Karnataka,Udupi
235,Karnataka,Uttar Kannad
236,Karnataka,Bidar
237,Karnataka,Bijapur
238,Karnataka,Gulbarga
239,Karnataka,Koppal
240,Karnataka,Raichur
241,Kerala,Alappuzha
242,Kerala,Ernakulam
243,Kerala,Idukki
244,Kerala,Kannur
245,Kerala,Kasaragod
246,Kerala,Kollam
247,Kerala,Kottayam
248,Kerala,Kozhikode
249,Kerala,Malappuram
250,Kerala,Palakkad
251,Kerala,Pathanamthitta
252,Kerala,Thiruvananthapuram
253,Kerala,Thrissur
254,Kerala,Wayanad
255,Madhya Pradesh,Anuppur
256,Madhya Pradesh,Ashoknagar
257,Madhya Pradesh,Balaghat
258,Madhya Pradesh,Barwani
259,Madhya Pradesh,Betul
260,Madhya Pradesh,Bhind
261,Madhya Pradesh,Bhopal
262,Madhya Pradesh,Burhanpur
263,Madhya Pradesh,Chhatarpur
264,Madhya Pradesh,Chhindwara
265,Madhya Pradesh,Damoh
266,Madhya Pradesh,Datia
267,Madhya Pradesh,Dewas
268,Madhya Pradesh,Dhar
269,Madhya Pradesh,Dindori
270,Madhya Pradesh,Guna
271,Madhya Pradesh,Gwalior
272,Madhya Pradesh,Harda
273,Madhya Pradesh,Hoshangabad
274,Madhya Pradesh,Indore
275,Madhya Pradesh,Jabalpur
276,Madhya Pradesh,Jhabua
277,Madhya Pradesh,Katni
278,Madhya Pradesh,Khandwa
279,Madhya Pradesh,Khargone
280,Madhya Pradesh,Mandla
281,Madhya Pradesh,Mandsaur
282,Madhya Pradesh,Morena
283,Madhya Pradesh,Narsinghpur
284,Madhya Pradesh,Neemuch
285,Madhya Pradesh,Panna
286,Madhya Pradesh,Raisen
287,Madhya Pradesh,Rajgarh
288,Madhya Pradesh,Ratlam
289,Madhya Pradesh,Rewa
290,Madhya Pradesh,Sagar
291,Madhya Pradesh,Satna
292,Madhya Pradesh,Sehore
293,Madhya Pradesh,Seoni
294,Madhya Pradesh,Shahdol
295,Madhya Pradesh,Shajapur
296,Madhya Pradesh,Sheopur
297,Madhya Pradesh,Shivpuri
298,Madhya Pradesh,Sidhi
299,Madhya Pradesh,Tikamgarh
300,Madhya Pradesh,Ujjain
301,Madhya Pradesh,Umaria
302,Madhya Pradesh,Vidisha
303,Maharashtra,Ahmednagar
304,Maharashtra,Akola
305,Maharashtra,Amravati
306,Maharashtra,Aurangabad
307,Maharashtra,Beed
308,Maharashtra,Bhandara
309,Maharashtra,Buldhana
310,Maharashtra,Chandrapur
311,Maharashtra,Dhule
312,Maharashtra,Gadchiroli
313,Maharashtra,Gondia
314,Maharashtra,Hingoli
315,Maharashtra,Jalgaon
316,Maharashtra,Jalna
317,Maharashtra,Kolhapur
318,Maharashtra,Latur
319,Maharashtra,Nagpur
320,Maharashtra,Nanded
321,Maharashtra,Nandurbar
322,Maharashtra,Nashik
323,Maharashtra,Osmanabad
324,Maharashtra,Parbhani
325,Maharashtra,Pune
326,Maharashtra,Raigad
327,Maharashtra,Ratnagiri
328,Maharashtra,Sangli
329,Maharashtra,Satara
330,Maharashtra,Solapur
331,Maharashtra,Thane
332,Maharashtra,Wardha
333,Maharashtra,Washim
334,Maharashtra,Yavatmal
335,Maharashtra,Sindhudurg
336,Manipur,Senapati
337,Manipur,Bishnupur
338,Manipur,Chandel
339,Manipur,Churachandpur
340,Manipur,Imphal East
341,Manipur,Imphal West
342,Manipur,Tamenglong
343,Manipur,Thoubal
344,Manipur,Ukhrul
345,Meghalaya,East Garo Hills
346,Meghalaya,East Jaintia Hills
347,Meghalaya,East Khasi Hills
348,Meghalaya,Ri Bhoi
349,Meghalaya,South Garo Hills
350,Meghalaya,West Garo Hills
351,Meghalaya,West Khasi Hills
352,Mizoram,Aizawl
353,Mizoram,Champhai
354,Mizoram,Kolasib
355,Mizoram,Lunglei
356,Mizoram,Mamit
357,Mizoram,Saiha
358,Nagaland,Dimapur
359,Nagaland,Kohima
360,Nagaland,Mokokchung
361,Nagaland,Mon
362,Nagaland,Phek
363,Nagaland,Tuensang
364,Nagaland,Wokha
365,Nagaland,Zunheboto
366,Odisha,Anugul
367,Odisha,Balangir
368,Odisha,Baleshwar
369,Odisha,Bargarh
370,Odisha,Bhadrak
371,Odisha,Boudh
372,Odisha,Cuttack
373,Odisha,Deogarh
374,Odisha,Dhenkanal
375,Odisha,Gajapati
376,Odisha,Ganjam
377,Odisha,Jagatsinghapur
378,Odisha,Jajapur
379,Odisha,Jharsuguda
380,Odisha,Kalahandi
381,Odisha,Kandhamal
382,Odisha,Kendrapara
383,Odisha,Kendujhar
384,Odisha,Khordha
385,Odisha,Koraput
386,Odisha,Malkangiri
387,Odisha,Mayurbhanj
388,Odisha,Nabarangpur
389,Odisha,Nayagarh
390,Odisha,Nuapada
391,Odisha,Rayagada
392,Odisha,Sambalpur
393,Odisha,Sonepur
394,Odisha,Sundargarh
395,Odisha,Puri
396,Puducherry,Mahe
397,Puducherry,Pondicherry
398,Puducherry,Karaikal
399,Puducherry,Yanam
400,Punjab,Amritsar
401,Punjab,Bathinda
402,Punjab,Faridkot
403,Punjab,Fatehgarh Sahib
404,Punjab,Firozepur
405,Punjab,Hoshiarpur
406,Punjab,Jalandhar
407,Punjab,Kapurthala
408,Punjab,Ludhiana
409,Punjab,Moga
410,Punjab,Muktsar
411,Punjab,Nawanshahr
412,Punjab,Patiala
413,Punjab,Rupnagar
414,Punjab,Sangrur
415,Punjab,Mansa
416,Punjab,Gurdaspur
417,Rajasthan,Ajmer
418,Rajasthan,Alwar
419,Rajasthan,Banswara
420,Rajasthan,Baran
421,Rajasthan,Bharatpur
422,Rajasthan,Bhilwara
423,Rajasthan,Bikaner
424,Rajasthan,Bundi
425,Rajasthan,Chittorgarh
426,Rajasthan,Dausa
427,Rajasthan,Dholpur
428,Rajasthan,Dungarpur
429,Rajasthan,Ganganagar
430,Rajasthan,Hanumangarh
431,Rajasthan,Jaipur
432,Rajasthan,Jaisalmer
433,Rajasthan,Jhalawar
434,Rajasthan,Karauli
435,Rajasthan,Kota
436,Rajasthan,Nagaur
437,Rajasthan,Pali
438,Rajasthan,Rajsamand
439,Rajasthan,Sawai Madhopur
440,Rajasthan,Sikar
441,Rajasthan,Sirohi
442,Rajasthan,Tonk
443,Rajasthan,Udaipur
444,Rajasthan,Barmer
445,Rajasthan,Churu
446,Rajasthan,Jalore
447,Rajasthan,Jhunjhunu
448,Rajasthan,Jodhpur
449,Sikkim,East District
450,Sikkim,North District
451,Sikkim,South District
452,Sikkim,West District
453,Tamil Nadu,Coimbatore
454,Tamil Nadu,Cuddalore
455,Tamil Nadu,Dharmapuri
456,Tamil Nadu,Dindigul
457,Tamil Nadu,Erode
458,Tamil Nadu,Kanchipuram
459,Tamil Nadu,Karur
460,Tamil Nadu,Madurai
461,Tamil Nadu,Namakkal
462,Tamil Nadu,Perambalur
463,Tamil Nadu,Pudukkottai
464,Tamil Nadu,Ramanathapuram
465,Tamil Nadu,Salem
466,Tamil Nadu,Sivaganga
467,Tamil Nadu,Thanjavur
468,Tamil Nadu,Theni
